iter	RMSE
0	0.4265499648
1	0.422311982
2	0.4182353118
3	0.414369567
4	0.4110399021
5	0.4080144147
6	0.4053098167
7	0.4024693598
8	0.3999800067
9	0.3980129509
10	0.3960040177
11	0.3940884669
12	0.3924095217
13	0.3908087962
14	0.3893412065
15	0.3881362304
16	0.3868454465
17	0.3859892205
18	0.3847382415
19	0.3839550121
20	0.382958911
21	0.3820105286
22	0.3813084854
23	0.3807412727
24	0.3800060052
25	0.3793187541
26	0.3787499795
27	0.3780718672
28	0.3775768261
29	0.3770419685
30	0.3764514493
31	0.37597176
32	0.3754861211
33	0.3750675703
34	0.3747071987
35	0.3743458036
36	0.3739365944
37	0.3736739989
38	0.3734114194
39	0.3731146529
40	0.3728742809
41	0.3726206009
42	0.3723162114
43	0.3719417713
44	0.3716919179
45	0.3714849058
46	0.371280199
47	0.3709208289
48	0.370632786
49	0.3703852625
50	0.3701149073
51	0.3700900033
52	0.3698595997
53	0.3697107238
54	0.3695543597
55	0.3694369352
56	0.3692450219
57	0.3690729585
58	0.3688933811
59	0.3687244039
60	0.3685783873
61	0.3684304749
62	0.368143583
63	0.3680042647
64	0.3678272883
65	0.3676847292
66	0.3675044613
67	0.3673822388
68	0.3672275789
69	0.3670649776
70	0.3670329929
71	0.3669101622
72	0.3667616121
73	0.3666032277
74	0.3664850498
75	0.3663116099
76	0.366145902
77	0.3660396052
78	0.3659177773
79	0.3657724094
80	0.3656944956
81	0.3655961905
82	0.365478662
83	0.3653321214
84	0.3651716763
85	0.3650367814
86	0.3649244051
87	0.3648179212
88	0.3646878542
89	0.3645900984
90	0.3643705391
91	0.3642275107
92	0.3641265939
93	0.3640013773
94	0.3638741754
95	0.3637738377
96	0.3636415171
97	0.3635075463
98	0.3634254741
99	0.3633002321
