iter	Passed	Remaining
0	6	655
1	11	570
2	18	608
3	23	561
4	27	527
5	32	504
6	36	480
7	40	468
8	44	452
9	47	428
10	51	418
11	55	408
12	59	400
13	63	392
14	68	388
15	72	380
16	76	374
17	81	369
18	85	362
19	89	358
20	94	353
21	98	348
22	102	343
23	106	336
24	110	331
25	114	326
26	118	321
27	122	316
28	126	310
29	130	305
30	135	300
31	139	295
32	143	290
33	147	285
34	151	280
35	155	276
36	159	271
37	163	266
38	167	261
39	171	257
40	175	252
41	179	248
42	183	243
43	187	238
44	191	234
45	195	229
46	200	226
47	206	224
48	213	222
49	219	219
50	225	216
51	229	211
52	235	209
53	242	206
54	248	203
55	252	198
56	256	193
57	262	190
58	269	187
59	276	184
60	283	181
61	289	177
62	293	172
63	297	167
64	302	162
65	308	158
66	315	155
67	320	150
68	324	145
69	328	140
70	331	135
71	335	130
72	340	125
73	344	120
74	348	116
75	352	111
76	357	106
77	363	102
78	369	98
79	376	94
80	382	89
81	390	85
82	396	81
83	403	76
84	410	72
85	418	68
86	424	63
87	431	58
88	437	54
89	444	49
90	451	44
91	458	39
92	465	35
93	472	30
94	478	25
95	483	20
96	487	15
97	491	10
98	496	5
99	502	0
